ticket_id,customer_id,timestamp,product,plan,region,customer_tenure_months,customer_age_group,ticket_channel,complaint_text,complaint_category,sub_category,sentiment,sentiment_score,urgency,priority,previous_ticket_count,same_issue_count,previous_resolution_time_hours,current_resolution_time_hours,agent_id,resolution_status,resolution_text,customer_satisfaction,refund_requested,refund_amount,service_downtime_minutes,usage_drop_percent,payment_failure_count,competitor_mentioned,churn_risk,churned,root_cause,root_cause_confidence,date,month,week,order_id,payment_id,refund_id,order_amount,order_status,payment_status,refund_status,refund_amount_synthetic,transaction_date,refund_requested_date
T07990,C11125,2026-01-01 00:55:00,Streaming,Premium,Ahmedabad,46,25-34,Social Media,The video stops playing after a few minutes,Playback,Playback,Negative,-0.64,Medium,P2,8,0,3,5,AG108,Resolved,Investigated playback issue; encoding issue identified and corrective action applied.,3.1,False,0.0,552,7.8,2,False,Low,No,Encoding issue,0.97,2026-01-01,2026-01,1,ORD-100000,PAY-200000,REF-300000,1611.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T03353,C11370,2026-01-01 01:26:00,Credit Card,Basic,Jaipur,61,35-44,App,My card transaction was declined multiple times,Transaction,Transaction,Neutral,-0.04,Low,P3,4,2,10,17,AG104,Resolved,Investigated transaction issue; bank issuer decline identified and corrective action applied.,3.3,False,0.0,22,17.0,3,False,Low,No,Bank issuer decline,0.87,2026-01-01,2026-01,1,ORD-100001,PAY-200001,REF-300001,11676.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T03495,C10910,2026-01-01 01:39:00,Mobile App,Basic,Jaipur,37,25-34,Chat,Wallet balance is incorrect,Wallet,Wallet,Negative,-0.33,Medium,P2,7,1,20,14,AG121,Resolved,Investigated wallet issue; top-up gateway timeout identified and corrective action applied.,3.7,False,0.0,24,6.8,2,True,Medium,No,Top-up gateway timeout,0.81,2026-01-01,2026-01,1,ORD-100002,PAY-200002,REF-300002,9921.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T06786,C11349,2026-01-01 01:52:00,Internet,Standard,Pune,44,18-24,Social Media,Router keeps restarting,Router,Router,Negative,-1.0,Critical,P0,0,0,3,5,AG112,Resolved,Investigated router issue; configuration sync failure identified and corrective action applied.,5.0,False,0.0,14,21.3,0,False,Low,No,Configuration sync failure,0.9,2026-01-01,2026-01,1,ORD-100003,PAY-200003,REF-300003,6750.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T07558,C11397,2026-01-01 01:55:00,E-commerce,Premium,Jaipur,55,45-54,App,Money was deducted but the transaction failed,Payment,Payment,Negative,-0.54,High,P1,6,5,29,31,AG109,Resolved,Investigated payment issue; payment gateway timeout identified and corrective action applied.,3.6,True,19301.24,8,8.0,0,True,Medium,No,Payment gateway timeout,0.78,2026-01-01,2026-01,1,ORD-100004,PAY-200004,REF-300004,19301.24,COMPLETED,FAILED,COMPLETED,19301.24,,
T02852,C11392,2026-01-01 01:59:00,E-commerce,Standard,Hyderabad,38,18-24,Phone,My refund has not arrived yet,Refund,Refund,Negative,-0.45,Low,P3,6,2,18,18,AG108,Resolved,Investigated refund issue; refund api delay identified and corrective action applied.,3.3,True,24587.54,10,30.2,2,False,Low,No,Refund API delay,0.96,2026-01-01,2026-01,1,ORD-100005,PAY-200005,REF-300005,24587.54,COMPLETED,FAILED,COMPLETED,24587.54,,
T06730,C10114,2026-01-01 02:29:00,E-commerce,Premium,Kolkata,52,18-24,App,My refund has not arrived yet,Refund,Refund,Negative,-0.58,Low,P3,6,4,29,22,AG119,Open,Case escalated for further investigation; suspected cause: bank settlement delay.,2.9,False,0.0,24,14.0,1,True,High,No,Bank settlement delay,0.78,2026-01-01,2026-01,1,ORD-100006,PAY-200006,REF-300006,1562.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T07093,C11593,2026-01-01 02:35:00,Mobile App,Premium,Hyderabad,57,55+,Phone,I cannot log into my account,Login,Login,Negative,-0.79,High,P1,1,0,3,3,AG106,Resolved,Investigated login issue; authentication service timeout identified and corrective action applied.,3.2,False,0.0,0,5.9,0,False,Low,No,Authentication service timeout,0.78,2026-01-01,2026-01,1,ORD-100007,PAY-200007,REF-300007,10551.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T01957,C10370,2026-01-01 03:04:00,Streaming,Standard,Kolkata,8,45-54,App,The content I want is suddenly unavailable,Content,Content,Negative,-0.31,Medium,P2,1,1,35,25,AG108,Resolved,Investigated content issue; catalog synchronization issue identified and corrective action applied.,3.9,False,0.0,2,1.3,2,False,Low,No,Catalog synchronization issue,0.87,2026-01-01,2026-01,1,ORD-100008,PAY-200008,REF-300008,3260.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T07029,C10271,2026-01-01 03:04:00,Credit Card,Standard,Lucknow,65,55+,Chat,My card was blocked after an unexpected fraud alert,Fraud Alert,Fraud Alert,Negative,-0.73,Medium,P2,4,1,44,31,AG107,Resolved,Investigated fraud alert issue; security rule trigger identified and corrective action applied.,3.8,False,0.0,29,0.0,0,False,Low,No,Security rule trigger,0.94,2026-01-01,2026-01,1,ORD-100009,PAY-200009,REF-300009,1683.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
